context-264_12_8	252
context-304_61_10	63
context-224_18_0	117
context-193_36_2	60
context-272_9_1	205
question-42_28_1	35
context-70_16_5	203
question-323_34_3	58
question-140_2_3	40
question-409_21_0	40
question-293_5_3	41
context-274_46_2	107
context-197_20_10	121
question-256_46_1	23
context-17_3_3	123
question-176_10_4	39
context-383_22_3	214
context-247_41_2	270
context-29_9_0	145
question-19_91_4	37
question-189_5_0	27
question-424_72_0	34
context-192_7_2	79
question-428_13_0	24
question-343_8_4	72
question-117_10_4	84
question-163_0_3	79
question-3_1_1	61
question-129_5_1	49
context-75_42_0	81
context-189_7_0	38
context-425_3_0	166
context-21_71_1	90
question-294_7_3	31
context-424_36_0	60
question-59_66_0	41
question-48_2_2	34
context-75_42_1	118
question-355_15_0	38
context-361_65_0	111
context-1_14_11	33
question-16_90_3	35
question-62_3_1	20
question-361_19_0	38
question-17_59_2	70
context-104_28_6	70
context-213_12_6	162
context-329_12_0	122
context-426_15_2	24
question-356_44_3	60
context-267_2_0	34
question-20_15_2	31
context-93_4_3	78
context-59_34_1	76
question-61_25_1	38
question-329_7_2	65
context-24_1_5	100
context-134_25_7	97
context-131_9_0	167
question-131_12_0	34
context-392_15_5	145
context-17_49_1	77
question-422_4_4	51
question-363_45_4	27
context-365_6_0	93
question-369_33_3	56
question-364_42_2	34
context-156_35_4	159
question-357_8_2	66
context-73_15_1	100
context-434_15_2	110
question-317_9_8	31
question-169_33_3	43
question-104_60_2	39
question-73_1_5	22
context-375_39_4	245
question-9_26_0	45
context-396_67_2	219
context-26_14_3	79
question-282_54_4	34
context-48_16_2	36
question-360_10_4	46
question-15_41_3	50
question-182_3_16	52
question-359_25_0	26
question-210_1_6	59
context-305_4_4	141
question-296_54_1	53
question-364_49_1	32
question-259_11_3	25
context-36_42_5	78
context-217_37_8	41
context-100_55_1	91
context-188_29_8	73
context-21_17_11	18
context-369_42_3	49
context-9_38_1	136
question-436_22_4	39
context-60_22_2	35
context-11_74_4	86
context-81_46_2	85
question-71_27_0	66
question-83_33_2	40
context-366_27_0	120
context-95_0_0	82
question-202_63_2	43
context-239_16_1	38
question-203_19_0	41
context-224_76_2	85
context-433_77_0	54
context-390_2_0	181
context-14_1_0	138
question-337_0_1	27
question-421_53_0	50
context-162_19_3	265
context-27_30_0	72
question-389_4_1	28
question-356_29_1	39
context-101_34_2	303
question-384_52_1	39
context-47_53_2	60
question-435_15_3	73
context-239_13_4	114
question-439_28_1	27
context-154_23_5	98
question-423_8_4	34
context-144_35_3	82
question-35_14_0	29
question-318_10_0	59
context-11_140_2	168
question-363_7_7	23
context-26_3_0	90
context-221_14_1	106
question-255_55_1	49
question-100_61_2	34
question-139_4_1	48
question-204_10_2	69
question-84_35_0	36
question-197_31_2	38
context-291_21_0	302
question-87_23_3	54
question-50_2_2	47
question-396_35_1	48
question-191_4_3	28
question-200_7_1	59
context-194_3_1	74
question-30_7_3	20
question-180_6_2	27
question-311_32_1	28
context-203_8_1	54
context-305_21_4	185
context-134_38_1	223
question-153_19_1	76
question-63_20_0	38
context-61_25_1	121
question-85_13_0	60
context-278_3_4	97
question-172_41_3	85
context-414_11_0	200
context-87_1_0	169
context-337_22_0	65
question-420_37_3	41
context-373_56_2	112
context-390_11_1	136
context-221_8_4	150
context-287_24_0	48
question-276_38_0	39
context-213_12_5	88
question-36_13_1	37
context-100_23_3	58
context-252_41_0	94
context-419_42_2	70
context-116_1_1	85
question-7_51_3	60
context-330_22_1	79
context-372_9_0	285
question-131_0_3	50
context-190_55_3	16
question-129_16_0	43
question-208_33_2	54
context-390_6_0	98
question-273_53_2	36
question-61_39_1	26
question-181_33_3	36
context-133_42_0	181
context-129_10_1	185
question-5_71_0	27
context-216_41_0	118
question-435_3_1	71
question-47_2_2	46
question-197_37_1	33
question-374_20_4	31
question-257_38_0	37
context-286_22_5	87
question-380_79_1	36
question-85_26_1	61
question-226_41_0	35
question-63_17_0	36
context-16_3_1	157
context-105_19_4	45
context-187_17_0	275
question-16_57_4	68
question-186_68_0	31
context-193_29_3	155
context-276_2_2	115
question-92_18_1	30
question-310_37_2	24
question-137_33_4	38
context-102_62_1	102
context-163_30_0	45
context-230_0_2	160
question-179_41_0	65
question-292_20_2	49
context-195_31_3	100
question-332_35_0	48
context-305_52_0	101
context-87_53_5	88
question-305_93_0	31
context-388_15_4	189
context-310_35_1	225
question-6_56_3	43
question-101_38_4	43
context-118_1_4	199
question-409_20_2	36
context-36_5_3	72
context-12_6_1	77
question-348_15_4	34
context-188_0_2	63
question-211_4_8	42
question-167_20_2	34
context-24_19_2	75
question-89_25_2	44
context-210_47_1	98
question-150_9_0	23
context-102_78_2	108
question-18_7_0	52
context-20_69_0	119
question-327_82_3	27
question-414_10_4	44
context-156_35_1	114
question-1_47_3	20
question-369_29_2	52
question-261_33_1	46
context-23_55_2	62
context-309_5_3	63
context-327_32_2	84
question-82_28_1	44
context-264_7_2	59
context-187_14_2	136
question-162_13_3	36
context-83_44_1	198
context-271_18_9	210
context-149_20_1	93
question-5_14_8	40
context-382_25_0	127
question-105_26_0	33
context-343_61_5	118
context-251_3_4	125
context-203_13_5	84
context-10_62_0	106
context-361_6_0	64
context-86_17_0	80
context-11_128_3	173
context-108_11_1	112
context-349_7_2	144
question-433_7_3	41
context-167_12_4	82
context-425_31_7	31
question-234_14_3	68
question-247_47_0	45
context-29_71_1	57
context-186_61_3	103
question-399_19_2	58
context-330_0_1	102
question-233_32_1	30
question-160_30_2	34
question-393_10_4	77
question-13_17_1	78
question-424_5_4	61
context-334_0_1	160
question-385_19_1	28
context-102_17_3	124
context-428_6_6	48
question-235_5_0	36
question-433_58_2	47
context-359_9_3	177
question-274_40_3	48
context-244_50_3	139
context-379_12_2	140
question-5_56_4	35
question-291_15_0	38
context-346_20_1	214
context-316_6_3	152
context-140_6_9	33
question-1_27_8	25
question-413_13_0	61
context-4_10_0	46
question-7_44_2	68
context-259_11_5	32
question-270_19_1	26
question-74_46_0	43
question-66_5_3	63
context-32_7_2	77
question-17_68_0	21
context-279_41_3	187
question-108_8_1	30
question-272_10_0	41
context-252_18_4	279
question-185_85_1	44
question-133_7_4	68
question-74_22_0	42
question-137_17_2	60
question-244_52_2	20
question-210_24_4	42
question-31_12_0	14
question-100_51_1	40
context-55_37_7	92
context-173_14_3	41
question-199_36_2	74
question-388_32_3	63
context-89_31_0	187
question-177_20_2	36
question-23_0_4	94
question-126_0_0	26
question-1_8_1	52
context-81_17_1	567
question-441_56_3	29
context-433_32_3	134
question-252_32_1	47
question-20_31_3	38
question-324_40_0	39
context-305_9_0	128
context-21_41_3	60
question-144_15_3	55
question-182_0_2	46
context-21_61_1	132
question-325_1_5	18
question-327_77_3	32
context-97_12_1	70
question-223_75_2	38
context-296_22_3	98
context-102_42_0	56
question-173_36_3	46
question-51_19_0	37
context-224_75_1	124
question-129_6_1	42
context-326_34_2	29
question-23_3_1	29
context-272_18_2	32
question-8_21_5	44
question-314_7_0	21
context-348_32_2	148
question-103_11_3	29
context-441_55_4	56
question-171_26_0	41
context-1_38_0	41
question-146_4_2	51
context-45_18_0	99
context-335_37_4	107
context-2_11_0	69
question-437_1_1	37
context-310_0_4	69
question-336_5_0	45
question-42_25_3	51
question-417_13_2	47
context-320_5_0	95
context-221_30_4	77
context-5_50_0	54
question-402_6_3	32
question-145_14_2	25
question-69_15_0	34
question-21_45_5	57
context-268_14_0	79
context-327_19_2	123
question-305_35_0	70
question-366_1_2	55
question-322_39_1	36
question-102_8_3	62
context-58_5_1	69
question-351_9_2	46
question-156_47_0	45
context-418_30_3	40
context-414_24_5	71
question-11_39_2	39
context-185_93_0	142
question-305_15_1	16
context-371_16_2	67
context-398_44_5	61
question-163_43_4	59
